gene_id	S_2_SARS_5dpi_S70003	S_2_mock_5dpi_S70002	S_3_SARS_5dpi_S69996	S_3_mock_5dpi_S69997
ENSG00000223972	1	7	0	0
ENSG00000227232	38	59	25	80
ENSG00000278267	0	0	0	0
ENSG00000243485	0	3	0	10
ENSG00000284332	0	0	0	0
ENSG00000237613	0	0	0	0
ENSG00000268020	0	0	0	0
ENSG00000240361	0	0	31	0
ENSG00000186092	0	0	0	0
ENSG00000238009	5	8	0	0
ENSG00000239945	0	0	0	0
ENSG00000233750	3	9	0	3
ENSG00000268903	1	2	0	0
ENSG00000269981	4	3	0	0
ENSG00000239906	0	2	0	5
ENSG00000241860	2	4	0	2
ENSG00000222623	0	0	0	0
ENSG00000241599	0	0	0	0
ENSG00000279928	2	1	0	0
ENSG00000279457	28	28	51	57
ENSG00000273874	1	1	0	0
ENSG00000228463	80	56	92	65
ENSG00000286448	0	2	0	0
ENSG00000236679	0	0	0	0
ENSG00000236601	0	0	0	0
ENSG00000237094	0	15	5	7
ENSG00000269732	0	0	0	0
ENSG00000284733	0	0	0	0
ENSG00000233653	2	2	0	0
ENSG00000250575	6	11	23	0
ENSG00000278757	0	0	0	0
ENSG00000230021	6	10	19	2
ENSG00000235146	0	1	0	0
ENSG00000225972	1659	1235	1515	1022
ENSG00000225630	6115	6461	5743	5260
ENSG00000237973	11869	9227	10503	8116
ENSG00000278791	0	0	0	0
ENSG00000229344	7179	4034	4957	3773
ENSG00000240409	43	38	24	13
ENSG00000248527	10245	5526	6303	4980
ENSG00000198744	9243	4277	4283	3969
ENSG00000268663	0	0	0	0
ENSG00000284662	0	0	0	0
ENSG00000229376	3	4	0	1
ENSG00000228327	28	91	52	47
ENSG00000223181	0	0	0	0
ENSG00000229905	1	0	0	0
ENSG00000237491	7	39	1	0
ENSG00000285268	0	0	0	0
ENSG00000230092	2	3	0	8
ENSG00000177757	7	5	0	12
ENSG00000228794	114	92	123	120
ENSG00000225880	2	19	1	2
ENSG00000288531	0	2	0	54
ENSG00000230368	1	0	0	1
ENSG00000234711	0	5	4	0
ENSG00000283040	0	0	0	0
ENSG00000272438	1	0	0	5
ENSG00000230699	2	0	0	0
ENSG00000241180	0	0	0	0
ENSG00000223764	1	3	74	0
ENSG00000187634	54	39	91	78
ENSG00000188976	868	1201	1741	1507
ENSG00000187961	3	3	0	405
ENSG00000187583	159	82	237	0
ENSG00000187642	11	7	0	0
ENSG00000272512	0	0	0	1
ENSG00000188290	711	634	2169	745
ENSG00000187608	1570	655	45966	1078
ENSG00000231702	0	5	0	0
ENSG00000224969	0	0	0	0
ENSG00000188157	3857	2139	7542	3879
ENSG00000242590	0	0	0	0
ENSG00000217801	413	428	431	401
ENSG00000273443	7	13	0	15
ENSG00000237330	35	37	0	3
ENSG00000131591	368	221	577	315
ENSG00000285812	2	0	0	0
ENSG00000223823	0	0	0	0
ENSG00000207730	0	0	0	0
ENSG00000207607	0	0	0	0
ENSG00000198976	0	0	0	0
ENSG00000272141	0	0	0	0
ENSG00000205231	0	1	0	0
ENSG00000162571	1	0	0	0
ENSG00000186891	38	14	0	0
ENSG00000186827	0	0	0	0
ENSG00000078808	2605	3165	6001	4944
ENSG00000176022	143	64	309	136
ENSG00000184163	8	0	0	0
ENSG00000260179	0	0	0	0
ENSG00000160087	847	554	772	1057
ENSG00000230415	0	0	0	1
ENSG00000162572	0	1	0	1
ENSG00000131584	387	767	382	864
ENSG00000278073	0	0	0	0
ENSG00000169972	655	581	474	319
ENSG00000127054	2612	1941	2299	2950
ENSG00000283712	0	0	0	0
ENSG00000240731	0	0	0	0
ENSG00000224051	198	201	481	192
ENSG00000169962	0	0	0	0
ENSG00000107404	46	14	1	105
ENSG00000284372	0	0	0	0
ENSG00000162576	43	5	0	104
ENSG00000175756	5354	3856	4432	4434
ENSG00000223663	0	0	0	0
ENSG00000221978	582	1159	2135	1217
ENSG00000224870	474	249	202	482
ENSG00000242485	1563	1229	2213	1738
ENSG00000264293	0	0	0	0
ENSG00000272455	4	0	0	0
ENSG00000235098	589	358	1068	302
ENSG00000225905	0	0	0	0
ENSG00000205116	0	0	0	0
ENSG00000225285	111	48	0	0
ENSG00000179403	411	353	877	842
ENSG00000215915	98	97	91	215
ENSG00000160072	143	150	85	194
ENSG00000284740	14	14	9	16
ENSG00000197785	354	279	276	417
ENSG00000205090	0	0	0	0
ENSG00000160075	6770	4753	7482	4829
ENSG00000215014	10	0	1	1
ENSG00000274481	0	0	0	0
ENSG00000228594	14	35	0	0
ENSG00000286989	0	0	0	0
ENSG00000272106	10	5	0	1
ENSG00000197530	340	209	360	608
ENSG00000189409	4	0	0	17
ENSG00000248333	292	254	396	156
ENSG00000272004	0	0	0	0
ENSG00000189339	507	570	762	1239
ENSG00000269737	11	5	7	10
ENSG00000215914	8	0	0	28
ENSG00000008128	23	20	11	33
ENSG00000268575	35	29	26	44
ENSG00000227775	3	3	0	4
ENSG00000215790	271	379	558	617
ENSG00000008130	168	194	449	196
ENSG00000078369	793	1039	925	962
ENSG00000231050	0	6	0	0
